County,date,sales_tax_receipts
Anderson,01/01/2012,"466,440.23"
Anderson,02/01/2012,"694,920.67"
Anderson,03/01/2012,"436,622.94"
Anderson,04/01/2012,"475,761.17"
Anderson,05/01/2012,"647,752.86"
Anderson,06/01/2012,"484,203.31"
Anderson,07/01/2012,"28,516.96"
Anderson,08/01/2012,"607,512.51"
Anderson,09/01/2012,"460,754.35"
Anderson,10/01/2012,"471,482.43"
Anderson,11/01/2012,"587,367.21"
Anderson,12/01/2012,"468,395.39"
Anderson,01/01/2013,"510,811.35"
Anderson,02/01/2013,"648,105.90"
Anderson,03/01/2013,"26,899.44"
Anderson,04/01/2013,"473,973.92"
Anderson,05/01/2013,"644,708.12"
Anderson,06/01/2013,"494,380.79"
Anderson,07/01/2013,"456,161.37"
Anderson,08/01/2013,"584,466.04"
Anderson,09/01/2013,"464,567.93"
Anderson,10/01/2013,"496,712.58"
Anderson,11/01/2013,"567,378.38"
Anderson,12/01/2013,"471,228.85"
Anderson,01/01/2014,"432,323.92"
Anderson,02/01/2014,"656,041.82"
Anderson,03/01/2014,"420,824.91"
Anderson,04/01/2014,"449,930.41"
Anderson,05/01/2014,"640,542.06"
Anderson,06/01/2014,"472,340.02"
Anderson,07/01/2014,"504,607.44"
Anderson,08/01/2014,"607,154.15"
Anderson,09/01/2014,"503,948.21"
Anderson,10/01/2014,"508,940.61"
Anderson,11/01/2014,"628,709.34"
Anderson,12/01/2014,"595,326.88"
Anderson,01/01/2015,"504,818.16"
Anderson,02/01/2015,"734,266.66"
Anderson,03/01/2015,"516,166.77"
Anderson,04/01/2015,"471,745.07"
Anderson,05/01/2015,"664,974.37"
Anderson,06/01/2015,"508,998.10"
Anderson,07/01/2015,"455,231.70"
Anderson,08/01/2015,"627,701.50"
Anderson,09/01/2015,"523,528.59"
Anderson,10/01/2015,"477,927.80"
Anderson,11/01/2015,"611,003.73"
Anderson,12/01/2015,"16,594.85"
Anderson,01/01/2016,"467,271.35"
Anderson,02/01/2016,"690,761.13"
Anderson,03/01/2016,"474,766.62"
Anderson,04/01/2016,"515,120.79"
Anderson,05/01/2016,"627,225.25"
Anderson,06/01/2016,"465,535.41"
Anderson,07/01/2016,"479,522.53"
Anderson,08/01/2016,"691,635.99"
Anderson,09/01/2016,"512,358.82"
Anderson,10/01/2016,"503,536.27"
Anderson,11/01/2016,"564,742.87"
Anderson,12/01/2016,"431,406.50"
Anderson,01/01/2017,"471,562.43"
Anderson,02/01/2017,"643,513.66"
Anderson,03/01/2017,"447,617.94"
Anderson,04/01/2017,"459,165.14"
Anderson,05/01/2017,"632,052.49"
Anderson,06/01/2017,"456,605.77"
Anderson,07/01/2017,"501,636.92"
Anderson,08/01/2017,"533,356.01"
Anderson,09/01/2017,"35,501.91"
Anderson,10/01/2017,"464,396.93"
Anderson,11/01/2017,"606,281.61"
Anderson,12/01/2017,"473,323.83"
Anderson,01/01/2018,"499,671.29"
Anderson,02/01/2018,"649,073.26"
Anderson,03/01/2018,"431,693.72"
Anderson,04/01/2018,"414,876.71"
Anderson,05/01/2018,"623,447.36"
Anderson,06/01/2018,"490,521.01"
Anderson,07/01/2018,"546,682.22"
Anderson,08/01/2018,"572,590.25"
Anderson,09/01/2018,"482,330.16"
Anderson,10/01/2018,"480,759.07"
Anderson,11/01/2018,"43,774.19"
Anderson,12/01/2018,"514,064.16"
Anderson,01/01/2019,"524,766.84"
Anderson,02/01/2019,"666,153.30"
Anderson,03/01/2019,"449,343.27"
Anderson,04/01/2019,"466,917.13"
Anderson,05/01/2019,"602,761.05"
Anderson,06/01/2019,"432,230.76"
Anderson,07/01/2019,"524,614.51"
Anderson,08/01/2019,"605,750.76"
Anderson,09/01/2019,"540,582.35"
Anderson,10/01/2019,"517,540.01"
Anderson,11/01/2019,"601,444.25"
Anderson,12/01/2019,"532,325.28"
Anderson,01/01/2020,"495,366.53"
Anderson,02/01/2020,"727,510.43"
Anderson,03/01/2020,"491,644.69"
Anderson,04/01/2020,"492,448.12"
Anderson,05/01/2020,"642,823.24"
Anderson,06/01/2020,"538,794.59"
Anderson,07/01/2020,"569,605.08"
Anderson,08/01/2020,"699,710.76"
Anderson,09/01/2020,"546,266.53"
Anderson,10/01/2020,"535,805.40"
Anderson,11/01/2020,"703,232.82"
Anderson,12/01/2020,"541,929.19"
Anderson,01/01/2021,"526,357.84"
Anderson,02/01/2021,"721,252.02"
Anderson,03/01/2021,"522,293.80"
Anderson,04/01/2021,"446,858.04"
Anderson,05/01/2021,"828,142.86"
Anderson,06/01/2021,"610,267.91"
Anderson,07/01/2021,"480,636.38"
Anderson,08/01/2021,"739,063.64"
Anderson,09/01/2021,"632,326.40"
Anderson,10/01/2021,"631,400.73"
Anderson,11/01/2021,"740,781.66"
Anderson,12/01/2021,"644,082.27"
